x,y,z,Ex,Ey,Ez
-0.00025,-0.00025,-0.00025,-6.710620532082291,5.700296857828386,9.774835761250069
-0.00025,-0.00025,-0.00021875,-6.710273548375318,5.702121463321871,9.60498581867131
-0.00025,-0.00025,-0.0001875,-6.709844004909312,5.70383174912672,9.436042863346474
-0.00025,-0.00025,-0.00015625,-6.709331760996951,5.70542779731562,9.267994369520984
-0.00025,-0.00025,-0.000125,-6.7087366822032495,5.7069096927189475,9.10082783260979
-0.00025,-0.00025,-9.375e-05,-6.708058640344925,5.708277522929165,8.934530769597057
-0.00025,-0.00025,-6.25e-05,-6.707297513489464,5.70953137830508,8.76909071943127
-0.00025,-0.00025,-3.125e-05,-6.70645318595354,5.710671351975513,8.604495243415855
-0.00025,-0.00025,0.0,-6.7055255483012886,5.711697539843017,8.440731925595319
-0.00025,-0.00025,3.125000000000003e-05,-6.704514497341962,5.712610040587092,8.277788373137028
-0.00025,-0.00025,6.25e-05,-6.7034199361273235,5.71340895566722,8.115652216708655
-0.00025,-0.00025,9.374999999999997e-05,-6.702241773948516,5.714094389325574,7.954311110851362
-0.00025,-0.00025,0.000125,-6.700979926332671,5.714666448589526,7.793752734348789
-0.00025,-0.00025,0.00015625000000000003,-6.699634315038904,5.715125243273667,7.633964790591916
-0.00025,-0.00025,0.0001875,-6.698204868054152,5.715470885981881,7.47493500793984
-0.00025,-0.00025,0.00021874999999999998,-6.696691519588395,5.715703492108794,7.31665114007657
-0.00025,-0.00025,0.00025,-6.6950942100695645,5.715823179841112,7.1591009663638445
-0.00025,-0.00021875,-0.00025,-6.710691387330339,5.433586872045412,9.776628735216903
-0.00025,-0.00021875,-0.00021875,-6.710344280194493,5.435237401919269,9.606667990431422
-0.00025,-0.00021875,-0.0001875,-6.709914615005436,5.4367807199531235,9.437614307406957
-0.00025,-0.00021875,-0.00015625,-6.709402251063073,5.438216895833944,9.269455163136284
-0.00025,-0.00021875,-0.000125,-6.708807053919833,5.439546001990117,9.102178055786041
-0.00025,-0.00021875,-9.375e-05,-6.708128895380068,5.440768113595473,8.93577050509614
-0.00025,-0.00021875,-6.25e-05,-6.707367653499098,5.4418833085730025,8.77022005277462
-0.00025,-0.00021875,-3.125e-05,-6.706523212581628,5.442891667598316,8.605514262887972
-0.00025,-0.00021875,0.0,-6.705595463180054,5.443793274102834,8.441640722246989
-0.00025,-0.00021875,3.125000000000003e-05,-6.70458430209205,5.444588214276697,8.27858704078834
-0.00025,-0.00021875,6.25e-05,-6.7034896323580515,5.445276577071418,8.116340851951627
-0.00025,-0.00021875,9.374999999999997e-05,-6.702311363258037,5.445858454202251,7.954889813052393
-0.00025,-0.00021875,0.000125,-6.7010494103081975,5.446333940150297,7.7942216056507885
-0.00025,-0.00021875,0.00015625000000000003,-6.699703695256904,5.446703132164343,7.634323935916156
-0.00025,-0.00021875,0.0001875,-6.698274146080549,5.4469661302624,7.475184534987543
-0.00025,-0.00021875,0.00021874999999999998,-6.696760696978783,5.447123037233014,7.316791159330199
-0.00025,-0.00021875,0.00025,-6.6951632883693915,5.44717395863624,7.15913159108814
-0.00025,-0.0001875,-0.00025,-6.710691530259002,5.167394558865526,9.778244083484763
-0.00025,-0.0001875,-0.00021875,-6.710344309127668,5.168871026336883,9.608179647059409
-0.00025,-0.0001875,-0.0001875,-6.709914532356019,5.170247382897852,9.439022334520935
-0.00025,-0.0001875,-0.00015625,-6.709402059233115,5.171523685842982,9.270759625593618
-0.00025,-0.0001875,-0.000125,-6.708806755300733,5.172699995192385,9.103379021179505
-0.00025,-0.0001875,-9.375e-05,-6.7081284923527225,5.173776373695344,8.936868043757595
-0.00025,-0.0001875,-6.25e-05,-6.7073671484339705,5.174752886833623,8.771214237778361
-0.00025,-0.0001875,-3.125e-05,-6.70652260783896,5.1756296028245306,8.606405170053891
-0.00025,-0.0001875,0.0,-6.705594761109922,5.176406592623745,8.442428430143465
-0.00025,-0.0001875,3.125000000000003e-05,-6.7045835050345755,5.17708392992782,8.279271630734767
-0.00025,-0.0001875,6.25e-05,-6.703488742643457,5.1776616911765085,8.116922408020809
-0.00025,-0.0001875,9.374999999999997e-05,-6.702310383206855,5.178139955554745,7.955368422072576
-0.00025,-0.0001875,0.000125,-6.701048342231331,5.178518804994436,7.794597357207469
-0.00025,-0.0001875,0.00015625000000000003,-6.699702541455829,5.178798324175947,7.634596922353598
-0.00025,-0.0001875,0.0001875,-6.698272908847387,5.178978600529327,7.475354851410051
-0.00025,-0.0001875,0.00021874999999999998,-6.696759378596445,5.179059724235301,7.316858903603116
-0.00025,-0.0001875,0.00025,-6.6951618911117645,5.179041788225954,7.159096863838565
-0.00025,-0.00015625,-0.00025,-6.710620868052834,4.901701686840207,9.779681824934261
-0.00025,-0.00015625,-0.00021875,-6.7102735423540025,4.90300410960873,9.609520800589625
